Unnamed: 0,year,region,installed,technology,year,agent,emission_costs,category,sector
181,2035,R1,2030,heatpump,2035,A1,0,retrofit,residential
182,2040,R1,2040,gasboiler,2040,A3,0,retrofit,residential
183,2060,R1,2025,windturbine,2060,A1,0,newcapa,power
184,2050,R1,2045,gasboiler,2050,A3,0,retrofit,residential
185,2050,R1,2045,gasboiler,2050,A1,0,retrofit,residential
186,2035,R1,2025,gasboiler,2035,A3,0,retrofit,residential
187,2030,R1,2025,windturbine,2030,A1,0,retrofit,power
188,2030,R1,2025,gasboiler,2030,A2,0,retrofit,residential
189,2055,R1,2050,gassupply2,2055,A1,0,retrofit,gas
190,2030,R1,2025,windturbine,2030,A1,0,newcapa,power
191,2025,R1,2025,gasboiler,2025,A3,0,retrofit,residential
192,2060,R1,2035,gassupply1,2060,A1,0,newcapa,gas
193,2030,R1,2025,gassupply1,2030,A1,0,retrofit,gas
194,2040,R1,2030,gassupply1,2040,A1,0,retrofit,gas
195,2045,R1,2025,windturbine,2045,A1,0,newcapa,power
196,2030,R1,2030,heatpump,2030,A2,0,retrofit,residential
197,2055,R1,2030,windturbine,2055,A1,0,retrofit,power
198,2060,R1,2030,windturbine,2060,A1,0,newcapa,power
199,2050,R1,2040,gasboiler,2050,A3,0,newcapa,residential
200,2025,R1,2025,windturbine,2025,A1,0,newcapa,power
201,2060,R1,2055,gasboiler,2060,A1,0,newcapa,residential
202,2045,R1,2025,gasboiler,2045,A3,0,retrofit,residential
203,2060,R1,2025,windturbine,2060,A1,0,newcapa,power
204,2060,R1,2025,gasboiler,2060,A1,0,newcapa,residential
