,year,region,technology,agent,category,sector,EAC
73,2040,R1,gassupply3,A1,retrofit,gas,21.857.625.499.067
74,2050,R1,gasboiler,A2,retrofit,residential,580.086.278.372
75,2040,R1,heatpump,A2,retrofit,residential,919.684.203.723
76,2030,R1,heatpump,A1,retrofit,residential,182.619.677.803
77,2035,R1,windturbine,A1,retrofit,power,578.418.773.779
78,2045,R1,gasboiler,A2,retrofit,residential,5.442.260.232
79,2040,R1,gassupply3,A1,retrofit,gas,21.857.625.499.067
80,2045,R1,gasboiler,A2,retrofit,residential,837.047.784.604
81,2030,R1,heatpump,A3,retrofit,residential,824.228.520.182
82,2060,R1,gasboiler,A3,retrofit,residential,1.254.515.563.006
83,2055,R1,heatpump,A2,retrofit,residential,720.117.640.442
84,2040,R1,gasboiler,A3,retrofit,residential,1.830.075.058.701
85,2035,R1,heatpump,A1,retrofit,residential,1.181.895.624.365
86,2060,R1,heatpump,A1,retrofit,residential,1.730.602.313.312
87,2045,R1,heatpump,A2,retrofit,residential,1.535.517.285.992
88,2035,R1,gasboiler,A2,retrofit,residential,762.789.351.934
89,2050,R1,windturbine,A1,retrofit,power,0
90,2050,R1,gassupply2,A1,retrofit,gas,2.310.557.511.833
91,2055,R1,gassupply3,A1,retrofit,gas,65.856.064.183.384
92,2040,R1,gassupply3,A1,retrofit,gas,32.619.434.079.341
93,2035,R1,gasboiler,A1,retrofit,residential,654.321.388.154
94,2040,R1,heatpump,A3,retrofit,residential,640.446.521.254
95,2035,R1,heatpump,A2,retrofit,residential,610.960.222.556
96,2050,R1,gasboiler,A3,retrofit,residential,580.086.278.372
97,2030,R1,gasCCGT,A1,retrofit,power,169.864.442.111
98,2040,R1,gasCCGT,A1,retrofit,power,769.019.309.711
99,2030,R1,gassupply2,A1,retrofit,gas,22.952.673.984.534
100,2025,R1,heatpump,A1,retrofit,residential,698.331.629.081
101,2030,R1,gasboiler,A2,retrofit,residential,485.247.787.557
102,2050,R1,gassupply1,A1,retrofit,gas,24.802.674.388.527
103,2055,R1,heatpump,A3,retrofit,residential,720.117.640.442
104,2050,R1,gassupply2,A1,retrofit,gas,65.803.726.809.125
