,year,commodity,region,installed,technology,agent,category,sector,consumption
316,2060,gas,R1,2050,gasboiler,A3,retrofit,residential,0.61074
317,2060,gas,R1,2050,gasboiler,A3,retrofit,residential,0.30537
318,2060,gas,R1,2024,gasboiler,A2,retrofit,residential,3.31E-09
319,2045,gas,R1,2035,gasboiler,A3,retrofit,residential,0.289419997
320,2030,gas,R1,2024,gasboiler,A3,retrofit,residential,0.218370005
321,2050,gas,R1,2024,gasboiler,A2,retrofit,residential,3.31E-09
322,2040,gas,R1,2035,gasboiler,A3,retrofit,residential,0.578839993
323,2035,wind,R1,2024,windturbine,A1,retrofit,power,0.014396739
324,2050,gas,R1,2024,gasboiler,A2,retrofit,residential,4.96E-09
325,2055,gas,R1,2024,gasboiler,A1,retrofit,residential,4.41E-09
326,2050,gas,R1,2045,gasboiler,A1,retrofit,residential,0.424559996
327,2030,gas,R1,2025,gasboiler,A2,retrofit,residential,0.260419997
328,2030,gas,R1,2024,gasboiler,A1,retrofit,residential,8.82E-09
329,2040,electricity,R1,2030,heatpump,A2,retrofit,residential,0.1806
330,2035,wind,R1,2030,windturbine,A1,retrofit,power,0.289597632
331,2040,gas,R1,2024,gasboiler,A3,retrofit,residential,9.92E-09
332,2045,gas,R1,2035,gasboiler,A3,retrofit,residential,0.289419997
333,2035,electricity,R1,2030,heatpump,A1,retrofit,residential,0.2408
334,2045,gas,R1,2040,gasboiler,A3,retrofit,residential,0.30537
335,2035,gas,R1,2024,gasCCGT,A1,retrofit,power,1.48E-08
336,2055,gas,R1,2024,gasboiler,A3,retrofit,residential,3.31E-09
337,2060,gas,R1,2024,gasboiler,A2,retrofit,residential,6.61E-09
338,2040,gas,R1,2024,gasboiler,A3,retrofit,residential,4.96E-09
339,2055,gas,R1,2050,gasboiler,A3,retrofit,residential,0.30537
340,2060,gas,R1,2024,gasboiler,A1,retrofit,residential,8.82E-09
341,2030,wind,R1,2024,windturbine,A1,retrofit,power,0.0329
342,2030,gas,R1,2024,gasboiler,A1,retrofit,residential,6.61E-09
343,2040,wind,R1,2024,windturbine,A1,retrofit,power,0.043190218
344,2060,gas,R1,2024,gasboiler,A3,retrofit,residential,4.96E-09
345,2055,gas,R1,2050,gasboiler,A2,retrofit,residential,0.61074
346,2035,gas,R1,2024,gasboiler,A1,retrofit,residential,6.61E-09
347,2045,gas,R1,2035,gasboiler,A1,retrofit,residential,0.385893329
348,2040,gas,R1,2024,gasboiler,A1,retrofit,residential,1.32E-05
349,2060,gas,R1,2050,gasboiler,A2,retrofit,residential,0.61074
350,2060,gas,R1,2055,gasboiler,A1,retrofit,residential,0.636839993
351,2050,gas,R1,2045,gasboiler,A2,retrofit,residential,0.477629995
352,2040,wind,R1,2024,windturbine,A1,retrofit,power,0.014396739
353,2035,electricity,R1,2030,heatpump,A2,retrofit,residential,0.0903
354,2030,wind,R1,2025,windturbine,A1,retrofit,power,0.089999982
355,2035,gas,R1,2024,gasboiler,A2,retrofit,residential,9.92E-09
356,2050,gas,R1,2045,gasboiler,A1,retrofit,residential,0.849119991
357,2055,gas,R1,2050,gasboiler,A2,retrofit,residential,0.30537
358,2045,gas,R1,2035,gasboiler,A1,retrofit,residential,0.578839993
359,2060,gas,R1,2050,gasboiler,A1,retrofit,residential,0.27144
360,2055,gas,R1,2024,gasboiler,A3,retrofit,residential,3.31E-09
361,2040,gas,R1,2024,gasboiler,A3,retrofit,residential,4.96E-09
362,2040,gas,R1,2035,gasboiler,A3,retrofit,residential,0.86825999
363,2030,gas,R1,2025,gasboiler,A3,retrofit,residential,0.520839993
364,2030,wind,R1,2024,windturbine,A1,retrofit,power,0.0329
365,2035,gas,R1,2030,gasboiler,A3,retrofit,residential,0.17458
366,2055,gas,R1,2050,gasboiler,A2,retrofit,residential,0.30537
367,2040,gas,R1,2024,gasboiler,A3,retrofit,residential,6.61E-09
368,2045,gas,R1,2024,gasboiler,A3,retrofit,residential,9.92E-09
369,2040,gas,R1,2030,gasboiler,A3,retrofit,residential,0.17458
370,2035,electricity,R1,2030,heatpump,A1,retrofit,residential,0.1204
371,2050,gas,R1,2040,gasboiler,A1,retrofit,residential,0.40716
372,2060,gas,R1,2050,gasboiler,A3,retrofit,residential,0.30537
373,2035,gas,R1,2024,gasCCGT,A1,retrofit,power,9.87E-09
374,2060,gas,R1,2055,gasboiler,A1,retrofit,residential,0.424559996
375,2030,wind,R1,2025,windturbine,A1,retrofit,power,0.067499987
376,2045,gas,R1,2040,gasboiler,A3,retrofit,residential,0.20358
